Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
37801,22,Modifications to Contract No. CW39267 with Advanced Network Consulting Approval and Payment Authorization Emergency Act of 2017,Chairman Mendelson,B22-0221,,,3/28/2017,4/3/2017,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/37801/B22-0221-Introduction.pdf
37800,22,Modifications to Contract No. CW39267 with Advanced Network Consulting Approval and Payment Authorization Emergency Declaration Resolution of 2017,Chairman Mendelson,PR22-0229,,,3/28/2017,4/3/2017,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37800/PR22-0229-Introduction.pdf
37799,22,Ballpark Fee Overpayment Act of 2017,Councilmember Evans,B22-0220,,,3/31/2017,4/3/2017,Committee on Finance and Revenue,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/37799/B22-0220-Introduction.pdf
37798,22,Workforce Investment Council Eligible Training Providers Amendment Approval Resolution of 2017,Chairman Mendelson,PR22-0228,,,3/31/2017,4/3/2017,Committee on Labor and Workforce Development,,Approved,4/24/2017,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/37798/PR22-0228-Introduction.pdf
37797,22,"Paul S. Devrouax, Jr. Way Designation Act of 2017",Councilmembers Todd and Evans,B22-0219,,,3/31/2017,4/3/2017,Committee of the Whole,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/37797/B22-0219-Introduction.pdf
37796,22,Relieve High Unemployment Tax Incentives Act of 2017,Councilmember Evans,B22-0218,,,3/31/2017,4/3/2017,Committee on Finance and Revenue,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/37796/B22-0218-Introduction.pdf
37795,22,"Modification Nos. 001 and 002 to Contract No. DCAM-15-CS-97E with McKissack & McKissack of Washington, Inc. Approval Emergency Declaration Resolution of 2017",Chairman Mendelson,PR22-0227,,,3/29/2017,4/3/2017,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37795/PR22-0227-Introduction.pdf
37794,22,"Modification Nos. 001 and 002 to Contract No. DCAM-15-CS-97E with McKissack & McKissack of Washington, Inc. Approval Emergency Act of 2017",Chairman Mendelson,B22-0217,,,3/29/2017,4/3/2017,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/37794/B22-0217-Introduction.pdf
37793,22,"Modifications to Contract No. CW20202 with Lucky Dog, LLC Approval and Payment Authorization Emergency Act of 2017",Chairman Mendelson,B22-0216,,,3/29/2017,4/3/2017,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/37793/B22-0216-Introduction.pdf
37792,22,"Modifications to Contract No. CW20202 with Lucky Dog, LLC Approval and Payment Authorization Emergency Declaration Resolution of 2017",Chairman Mendelson,PR22-0226,,,3/29/2017,4/3/2017,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37792/PR22-0226-Introduction.pdf
37791,22,"Modifications to Contract No. CW40717 with Sharcon Hospitality of DC III, LLC d/b/a/ Holiday Inn Express Hotel and Suites Approval and Payment Authorization Emergency Act of 2017",Chairman Mendelson,B22-0215,,,3/29/2017,4/3/2017,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/37791/B22-0215-Introduction.pdf
37790,22,"Modifications to Contract No. CW40717 with Sharcon Hospitality of DC III, LLC d/b/a/ Holiday Inn Express Hotel and Suites Approval and Payment Authorization Emergency Declaration Resolution of 2017",Chairman Mendelson,PR22-0225,,,3/29/2017,4/3/2017,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37790/PR22-0225-Introduction.pdf
37789,22,"Modification No. 001 and 002 to Contract No. DCAM-15-CS-0097I with Kramer Consulting Services PC, Approval Emergency Act of 2017",Chairman Mendelson,B22-0214,,,3/29/2017,4/3/2017,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/37789/B22-0214-Introduction.pdf
37788,22,Modification Nos. 001 and 002 to Contract No. DCAM-15-CS-0097I with Kramer Consulting Services PC Approval Emergency Declaration Resolution of 201,Chairman Mendelson,PR22-0224,,,3/29/2017,4/3/2017,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37788/PR22-0224-Introduction.pdf
37787,22,"Modification Nos. 001 and 002 to Contract No. DCAM-15-CS-0097K with Brailsford & Dunlavey, Inc. Approval Emergency Act of 2017",Chairman Mendelson,B22-0213,,,3/29/2017,4/3/2017,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/37787/B22-0213-Introduction.pdf
37786,22,"Modification Nos. 001 and 002 to Contract No. DCAM-15-CS-0097K with Brailsford & Dunlavey, Inc. Approval Emergency Declaration Resolution of 2017",Chairman Mendelson,PR22-0223,,,3/29/2017,4/3/2017,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37786/PR22-0223-Introduction.pdf
37785,22,District Government Employee Residency Amendment Act of 2017,Chairman Mendelson,B22-0212,,,3/29/2017,4/3/2017,Committee on Labor and Workforce Development,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/37785/B22-0212-Introduction.pdf
37784,22,Board of Physical Therapy Bernardine Evans Confirmation Resolution of 2017,Chairman Mendelson,PR22-0222,,,3/29/2017,4/3/2017,Committee on Health,,Approved,5/29/2017,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/37784/PR22-0222-Introduction.pdf
37783,22,Contract No. CFOPD-13-C-011 Extension Approval and Payment Authorization Emergency Act of 2017,Chairman Mendelson,B22-0211,,,3/29/2017,4/3/2017,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/37783/B22-0211-Introduction.pdf
37782,22,Contract No. CFOPD-13-C-011 Extension Approval and Payment Authorization Emergency Declaration Resolution of 2017,Chairman Mendelson,PR22-0221,,,3/29/2017,4/3/2017,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37782/PR22-0221-Introduction.pdf
37781,22,Modifications to Human Care Agreement No. DCRL-2013-H-0039F with Family Matters of Greater Washington Approval and Payment Authorization Emergency Act of 2017,Chairman Mendelson,B22-0210,,,3/28/2017,4/3/2017,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/37781/B22-0210-Introduction.pdf
37780,22,Modifications to Human Care Agreement No. DCRL-2013-H-0039F with Family Matters of Greater Washington Approval and Payment Authorization Emergency Declaration Resolution of 2017,Chairman Mendelson,PR22-0220,,,3/28/2017,4/3/2017,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37780/PR22-0220-Introduction.pdf
37779,22,"Modifications to Contract No. RM-15-RFP-SRR-104-LSI-BY4-SC with Life Stride, Inc. Approval and Payment Authorization Emergency Act of 2017",Chairman Mendelson,B22-0209,,,3/28/2017,4/3/2017,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/37779/B22-0209-Introduction.pdf
37778,22,"Modifications to Contract No. RM-15-RFP-SRR-104-LSI-BY4-SC with Life Stride, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2017",Chairman Mendelson,PR22-0219,,,3/28/2017,4/3/2017,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37778/PR22-0219-Introduction.pdf
37777,22,"Modifications to Contract No. RM-15-RFP-SRR-102-CCI-BY4-SC with Community Connections, Inc. Approval and Payment Authorization Emergency Act of 2017",Chairman Mendelson,B22-0208,,,3/28/2017,4/3/2017,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/37777/B22-0208-Introduction.pdf
37776,22,"Modifications to Contract No. RM-15-RFP-SRR-102-CCI-BY4-SC with Community Connections, Inc. Approval and Payment Authorization Emergency Declaration Resolution of 2017",Chairman Mendelson,PR22-0218,,,3/28/2017,4/3/2017,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37776/PR22-0218-Introduction.pdf
37775,22,Performance Oversight Hearing: Office of Employee Appeals and Public Employee Relations Board,NONE,HR22-0026,,,2/15/2017,4/3/2017,Committee on Labor and Workforce Development,,,,Under Council Review,Oversight Hearing Record,Oversight Hearing Record,
37773,22,"Performance Oversight Hearing: Bullying Prevention Task Force, Commission on Out of School Time Grants and Youth Outcomes, Office on Out of School Time Grants and Youth Outcomes, Common Lottery Board, Community Schools Advisory Committee, DC Trust, Education Licensure Commission, Healthy Youth and Schools Commission, Office of the Deputy Mayor for Education, the Office of the State Superintendent for Education, District of Columbia Public Schools, the D.C. Public Charter School Board, Public Charter Schools, the State Board of Education, District of Columbia Public Library Trust Fund and the District of Columbia Public Library System",NONE,HR22-0025,,,2/14/2017,4/3/2017,Committee on Education,,,,Under Council Review,Oversight Hearing Record,Oversight Hearing Record,
37772,22,"Performance Oversight Hearing: Deputy Mayor for Public Safety and Justice, Criminal Justice Coordinating Council, Office of Victim Services and Justice Grants, Department of Corrections, and Corrections Information Council",NONE,HR22-0024,,,2/13/2017,4/3/2017,Committee on Judiciary and Public Safety,,,,Under Council Review,Oversight Hearing Record,Oversight Hearing Record,
37771,22,"Performance Oversight Hearing: Metropolitan Police Department, Office of Police Complaints, Fire and Emergency Medical Services Department, Office of Unified Communications, and Corrections Information Council",NONE,HR22-0023,,,3/2/2017,4/3/2017,Committee on Judiciary and Public Safety,,,,Under Council Review,Oversight Hearing Record,Oversight Hearing Record,
37770,22,"Performance Oversight Hearing: District of Columbia National Guard, Homeland Security and Emergency Management Agency, Department of Forensic Sciences, and Office of the Chief Medical Examiner",NONE,HR22-0022,,,2/28/2017,4/3/2017,Committee on Judiciary and Public Safety,,,,Under Council Review,Oversight Hearing Record,Oversight Hearing Record,
37769,22,"Performance Oversight Hearing: Office of Human Rights, Board of Ethics and Government Accountability, Board of Elections, and Office of Campaign Finance",NONE,HR22-0021,,,2/23/2017,4/3/2017,Committee on Judiciary and Public Safety,,,,Under Council Review,Oversight Hearing Record,Oversight Hearing Record,
37768,22,"Performance Oversight Hearing: Judicial Nomination Commission, Commission on Judicial Disabilities & Tenure, Office of the Attorney General, Criminal Code Reform Commission, and District of Columbia Sentencing Commission",NONE,HR22-0020,,,2/16/2017,4/3/2017,Committee on Judiciary and Public Safety,,,,Under Council Review,Oversight Hearing Record,Oversight Hearing Record,
37767,22,"East End Health Care Desert, Retail Desert, and Food Desert Elimination Act of 2017","Councilmembers Gray, Todd, T. White, Bonds, and Evans",B22-0207,,,3/21/2017,3/31/2017,"Committee on Health, Committee on Business and Economic Development, and Committee of the Whole",,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/37767/B22-0207-Introduction.pdf
37766,22,Sense of the Council in Support of a 51st State Classic Tournament Resolution of 2017,Councilmember Evans,PR22-0217,,,3/21/2017,3/31/2017,Committee of the Whole,,,,Under Council Review,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/37766/PR22-0217-Introduction.pdf
37765,22,Multiyear Contract CW49533 Design and Install LID Stormwater Retrofits in the Carter Barron Amphitheater and Legg Mason Stadium Emergency Approval Resolution of 2017,Chairman Mendelson,PR22-0216,,,3/28/2017,3/31/2017,Retained by the Council,,,,New,Resolution,Emergency Approval Resolution,http://lims.dccouncil.us/Download/37765/PR22-0216-Introduction.pdf
