CommitteeReferralComments,DeemedOn,CouncilPeriod,LegislationNumber,Subcategory,DocumentUrl,Modified,LegislationStatus,ShortTitle,Category,Id,LawNumber,CommitteeReferral,ActNumber,Deemed,IntroductionDate
,,22,PR22-0076,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37285/PR22-0076-Introduction.pdf,2017-03-27,Under Council Review,"Force of 4,200 -  Police Officer Recruitment and Retention Emergency Declaration Resolution of 2017",Resolution,37285,,Retained by the Council,,,2017-01-24
,,22,PR22-0159,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37559/PR22-0159-Introduction.pdf,2017-03-27,Approved,Business License Technology Fee Reauthorization Emergency Declaration Resolution of 2017,Resolution,37559,,Retained by the Council,R22-0047,,2017-03-03
,,22,PR22-0152,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37528/PR22-0152-Introduction.pdf,2017-03-27,Approved,Land Disposition Transparency Emergency Declaration Resolution of 2017,Resolution,37528,,Retained by the Council,R22-0046,,2017-03-01
,,22,PR22-0163,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37582/PR22-0163-Introduction.pdf,2017-03-27,Approved,Advisory Neighborhood Commission Transfer Authorization Emergency Declaration  Resolution of 2017,Resolution,37582,,Retained by the Council,R22-0044,,2017-03-07
,,22,PR22-0075,Proposed Resolution,http://lims.dccouncil.us/Download/37279/PR22-0075-Introduction.pdf,2017-03-27,Approved,Sense of the Council in Reaffirmation of the Human Rights of District of Columbia Residents and in Opposition to Bigotry and Violence Resolution of 2017,Resolution,37279,,Retained by the Council,R22-0042,,2017-01-24
,,22,PR22-0155,Emergency Declaration Resolution,,2017-03-27,Approved,CYITC Surplus Funds MOU Authorization Emergency Declaration Resolution of 2017 ,Resolution,37535,,Retained by the Council,R22-0037,,2017-03-01
,,22,PR22-0156,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37537/PR22-0156-Introduction.pdf,2017-03-27,Approved,United Way Fiscal Agency Grant Agreement Authorization Emergency Declaration Resolution of 2017 ,Resolution,37537,,Retained by the Council,R22-0036,,2017-03-01
,,22,PR22-0158,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37542/PR22-0158-Introduction.pdf,2017-03-27,Approved,Council Independent Authority Clarification Congressional Review Emergency Declaration Resolution of 2017,Resolution,37542,,Retained by the Council,R22-0034,,2017-03-02
,,22,PR22-0149,Congressional Review Emer. Decl. Resolution,http://lims.dccouncil.us/Download/37523/PR22-0149-Introduction.pdf,2017-03-27,Approved,The At-Risk Tenant Protection Clarifying Congressional Review Emergency Declaration Resolution of 2017,Resolution,37523,,Retained by the Council,R22-0033,,2017-03-02
,,22,PR22-0148,Congressional Review Emer. Decl. Resolution,http://lims.dccouncil.us/Download/37520/PR22-0148-Introduction.pdf,2017-03-27,Approved,Medical Marijuana Dispensary Congressional Review Emergency Declaration Resolution of 2017,Resolution,37520,,Retained by the Council,R22-0029,,2017-03-02
,,22,PR22-0190,Proposed Resolution,http://lims.dccouncil.us/Download/37707/PR22-0190-Introduction.pdf,2017-03-27,New,Sense of the Council Supporting the National Mall Underground Parking Feasibility Study Resolution of 2017,Resolution,37707,,Committee of the Whole,,,2017-03-21
,,22,PR22-0189,Proposed Resolution,http://lims.dccouncil.us/Download/37706/PR22-0189-Introduction.pdf,2017-03-27,New,Not-for-Profit Hospital Corporation Board of Directors Millicent Gorham Appointment Resolution of 2017,Resolution,37706,,Committee of the Whole,,,2017-03-21
,,22,PR22-0188,Proposed Resolution,http://lims.dccouncil.us/Download/37692/PR22-0188-Introduction.pdf,2017-03-27,New,Sense of the Council Urging Reassessment of Relationship with Wells Fargo Resolution of 2017,Resolution,37692,,Committee on Finance and Revenue,,,2017-03-21
,2017-06-28,22,PR22-0185,Proposed Resolution,http://lims.dccouncil.us/Download/37677/PR22-0185-Introduction.pdf,2017-03-27,Under Council Review,Police Complaints Board Morgan C. Kane Confirmation Resolution of 2017,Resolution,37677,,Committee on Judiciary and Public Safety,,Disapproved,2017-03-15
,,22,PR22-0184,Proposed Resolution,http://lims.dccouncil.us/Download/37676/PR22-0184-Introduction.pdf,2017-03-27,Under Council Review,District of Columbia Corrections Information Council Governing Board Charles Thornton Confirmation Resolution of 2017,Resolution,37676,,Committee on Judiciary and Public Safety,,,2017-03-15
,2017-05-15,22,PR22-0183,Proposed Resolution,http://lims.dccouncil.us/Download/37675/PR22-0183-Introduction.pdf,2017-03-27,Under Council Review,"Science Advisory Board Simone N, Gittelson Confirmation Resolution of 2017",Resolution,37675,,Committee on Judiciary and Public Safety,,Approved,2017-03-15
,2017-06-28,22,PR22-0182,Proposed Resolution,http://lims.dccouncil.us/Download/37674/PR22-0182-Introduction.pdf,2017-03-27,Under Council Review,Commission on Human Rights Karen Mulhauser Confirmation Resolution of 2017,Resolution,37674,,Committee on Judiciary and Public Safety,,Disapproved,2017-03-15
,2017-06-28,22,PR22-0181,Proposed Resolution,http://lims.dccouncil.us/Download/37673/PR22-0181-Introduction.pdf,2017-03-27,Under Council Review,Commission on Human Rights Denise Reed Confirmation Resolution of 2017,Resolution,37673,,Committee on Judiciary and Public Safety,,Disapproved,2017-03-15
,2017-06-28,22,PR22-0180,Proposed Resolution,,2017-03-27,Under Council Review,Commission on Human Rights Ali Muhammad Confirmation Resolution of 2017,Resolution,37672,,Committee on Judiciary and Public Safety,,Disapproved,2017-03-15
,,22,PR22-0179,Proposed Resolution,http://lims.dccouncil.us/Download/37671/PR22-0179-Introduction.pdf,2017-03-27,Under Council Review,Housing Production Trust Fund Board Robert Pohlman Confirmation Resolution of 2017,Resolution,37671,,Committee on Housing and Neighborhood Revitalization ,,,2017-03-15
,,22,PR22-0178,Proposed Resolution,http://lims.dccouncil.us/Download/37670/PR22-0178-Introduction.pdf,2017-03-27,Under Council Review,Housing Production Trust Fund Board Susanne Slater Confirmation Resolution of 2017,Resolution,37670,,Committee on Housing and Neighborhood Revitalization ,,,2017-03-15
,,22,PR22-0177,Proposed Resolution,,2017-03-27,Under Council Review,Housing Production Trust Fund Board Stanley Jackson Confirmation Resolution of 2017,Resolution,37669,,Committee on Housing and Neighborhood Revitalization ,,,2017-03-15
,,22,PR22-0176,Proposed Resolution,http://lims.dccouncil.us/Download/37668/PR22-0176-Introduction.pdf,2017-03-27,Under Council Review,Housing Production Trust Fund Board James Knight Confirmation Resolution of 2017,Resolution,37668,,Committee on Housing and Neighborhood Revitalization ,,,2017-03-15
,,22,B22-0204,Permanent Bill,http://lims.dccouncil.us/Download/37705/B22-0204-Introduction.pdf,2017-03-27,New,Traffic and Parking Ticket Penalty Amendment Act of 2017,Bill,37705,,Committee on Transportation and the Environment,,,2017-03-21
,,22,B22-0203,Permanent Bill,http://lims.dccouncil.us/Download/37704/B22-0203-Introduction.pdf,2017-03-27,New,Infant and Toddler Developmental Health Services Act of 2017,Bill,37704,,Committee on Education and Committee on Health,,,2017-03-21
,,22,B22-0202,Permanent Bill,http://lims.dccouncil.us/Download/37703/B22-0202-Introduction.pdf,2017-03-27,New,East End Grocery and Retail Incentive Program Tax Abatement Act of 2017,Bill,37703,,Committee on Finance and Revenue,,,2017-03-21
,,22,B22-0201,Permanent Bill,http://lims.dccouncil.us/Download/37702/B22-0201-Introduction.pdf,2017-03-27,New,Prescription Drug Donation Pilot Program Act of 2017,Bill,37702,,Committee on Health,,,2017-03-21
,,22,B22-0200,Permanent Bill,http://lims.dccouncil.us/Download/37701/B22-0200-Introduction.pdf,2017-03-27,New,Free Licenses for Veterans Amendment Act of 2017,Bill,37701,,Committee on Transportation and the Environment,,,2017-03-21
,,22,B22-0199,Permanent Bill,http://lims.dccouncil.us/Download/37700/B22-0199-Introduction.pdf,2017-03-27,New,Uniform Fiduciary Access to Digital Assets Act of 2017,Bill,37700,,Committee on Judiciary and Public Safety,,,2017-03-21
,,22,B22-0198,Permanent Bill,http://lims.dccouncil.us/Download/37699/B22-0198-Introduction.pdf,2017-03-27,New,Uniform Partition of Heirs' Property Act of 2017,Bill,37699,,Committee on Judiciary and Public Safety,,,2017-03-21
,,22,B22-0197,Permanent Bill,http://lims.dccouncil.us/Download/37698/B22-0197-Introduction.pdf,2017-03-27,New,Primary Date Alteration Amendment Act of 2017,Bill,37698,,Committee on Judiciary and Public Safety,,,2017-03-21
,,22,B22-0196,Permanent Bill,http://lims.dccouncil.us/Download/37697/B22-0196-Introduction.pdf,2017-03-27,New,Access to Treatment for Anaphylaxis Amendment Act of 2017,Bill,37697,,Committee on Health and Committee on Judiciary and Public Safety,,,2017-03-21
,,22,B22-0195,Permanent Bill,http://lims.dccouncil.us/Download/37696/B22-0195-Introduction.pdf,2017-03-27,New,Study of Mental Health and Substance Abuse in Immigrant Communities Act of 2017,Bill,37696,,Committee on Health,,,2017-03-21
,,22,B22-0194,Permanent Bill,http://lims.dccouncil.us/Download/37695/B22-0194-Introduction.pdf,2017-03-27,New,DC Healthcare Alliance Program Recertification Simplification Amendment Act of 2017,Bill,37695,,Committee on Human Services,,,2017-03-21
